Date,Close/Last,Volume,Open,High,Low
06/16/2025,$112.48,22986110,$111.82,$113.16,$111.13
06/13/2025,$112.12,28540170,$112.35,$112.53,$110.68
06/12/2025,$109.73,17469410,$108.92,$110.19,$108.22
06/11/2025,$109.31,22648190,$107.76,$109.39,$106.46
06/10/2025,$107.22,17634790,$106.075,$107.645,$105.9272
06/09/2025,$104.97,17087330,$104.33,$105.845,$103.83
06/06/2025,$104.27,15487840,$102.76,$104.50,$102.675
06/05/2025,$101.83,13942220,$102.98,$103.05,$101.73
06/04/2025,$102.30,15648520,$103.915,$104.92,$102.30
06/03/2025,$103.80,19194340,$102.90,$104.66,$102.21
06/02/2025,$103.05,17290460,$103.75,$103.85,$102.22
05/30/2025,$102.30,28645790,$102.16,$102.39,$101.185
05/29/2025,$102.69,13832490,$102.28,$102.845,$101.75
05/28/2025,$102.11,14292380,$104.29,$104.43,$101.7918
05/27/2025,$103.52,13043600,$103.49,$103.855,$102.90
05/23/2025,$103.03,12061610,$102.595,$103.47,$102.07
05/22/2025,$102.97,13417380,$103.06,$103.47,$101.89
05/21/2025,$103.66,16716080,$104.53,$104.965,$103.64
05/20/2025,$104.95,12429320,$106.39,$106.715,$104.775
05/19/2025,$106.47,16802720,$107.57,$107.57,$105.72
05/16/2025,$108.19,14042540,$108.65,$108.89,$107.45
05/15/2025,$108.58,15004290,$106.49,$108.65,$105.97
05/14/2025,$108.48,15494930,$108.86,$108.86,$107.93
05/13/2025,$109.46,13350840,$109.32,$110.51,$109.02
05/12/2025,$109.16,14244560,$110.27,$110.44,$108.32
05/09/2025,$107.31,10992080,$107.14,$107.745,$106.38
05/08/2025,$106.07,19196550,$105.34,$107.385,$105.34
05/07/2025,$104.61,12335920,$104.99,$105.29,$104.07
05/06/2025,$104.71,16303450,$103.89,$105.98,$103.48
05/05/2025,$103.27,19623970,$104.65,$104.6575,$103.07
05/02/2025,$106.21,16581870,$107.72,$109.00,$104.55
05/01/2025,$105.78,18610260,$105.095,$106.92,$104.98
04/30/2025,$105.63,20379280,$107.415,$107.415,$104.15
04/29/2025,$108.36,9483135,$107.74,$108.8299,$107.5212
04/28/2025,$108.63,13890870,$108.75,$109.2497,$107.68
04/25/2025,$108.57,11245790,$108.14,$108.755,$107.42
04/24/2025,$108.63,9849553,$107.97,$108.88,$106.96
04/23/2025,$107.37,14235710,$108.81,$109.30,$106.47
04/22/2025,$108.30,13147050,$106.14,$108.94,$106.14
04/21/2025,$105.35,16926490,$105.61,$105.63,$104.12
04/17/2025,$106.92,17916470,$104.69,$108.55,$104.46
04/16/2025,$104.19,13607020,$103.95,$105.59,$103.695
04/15/2025,$103.10,13164860,$103.635,$105.405,$103.00
04/14/2025,$103.39,18019970,$105.03,$105.09,$102.7205
04/11/2025,$103.14,22884630,$100.30,$103.93,$98.79
04/10/2025,$99.93,33999320,$103.71,$103.78,$97.80
04/09/2025,$105.80,30063290,$99.37,$106.58,$98.13
04/08/2025,$100.77,27147750,$105.455,$105.60,$99.01
04/07/2025,$102.94,35068450,$100.39,$105.80,$98.46
04/04/2025,$104.34,30841320,$109.865,$110.83,$103.83
04/03/2025,$112.43,21204640,$114.37,$115.45,$112.2315
04/02/2025,$118.67,12614610,$118.39,$118.84,$117.66
04/01/2025,$119.04,12425430,$119.22,$119.28,$117.93
03/31/2025,$118.93,21652350,$117.79,$119.905,$117.79
03/28/2025,$117.73,10233430,$118.10,$118.46,$117.235
03/27/2025,$117.89,12740790,$118.10,$119.07,$117.258
03/26/2025,$118.27,14112760,$117.68,$119.18,$117.68
03/25/2025,$116.59,12081800,$116.43,$117.635,$115.9628
03/24/2025,$115.80,14207470,$115.68,$116.91,$115.58
03/21/2025,$115.50,41102800,$115.50,$115.99,$114.35
03/20/2025,$115.90,16230770,$114.72,$116.47,$114.2125
03/19/2025,$115.41,17315000,$114.20,$115.815,$113.83
03/18/2025,$113.64,15998710,$114.09,$114.54,$112.57
03/17/2025,$113.76,19908790,$111.80,$114.495,$111.73
03/14/2025,$111.90,15890060,$108.94,$112.18,$108.31
03/13/2025,$108.67,17767840,$108.33,$110.82,$107.625
03/12/2025,$109.13,14051500,$109.05,$110.13,$108.42
03/11/2025,$109.16,19904740,$111.92,$112.10,$108.785
03/10/2025,$111.80,22749070,$109.275,$112.565,$109.08
03/07/2025,$109.02,19624970,$108.41,$110.40,$108.30
03/06/2025,$107.62,17150230,$105.43,$108.11,$104.36
03/05/2025,$105.44,24822250,$105.84,$106.33,$103.67
03/04/2025,$107.54,19394910,$106.36,$108.96,$105.94
03/03/2025,$107.76,18706880,$111.70,$112.1563,$106.51
02/28/2025,$111.33,18821670,$110.11,$111.58,$109.34
02/27/2025,$110.15,15293170,$110.01,$111.29,$109.28
02/26/2025,$109.46,10446410,$109.74,$109.87,$108.52
02/25/2025,$109.73,14496960,$111.30,$112.13,$108.8902
02/24/2025,$111.27,13153470,$110.925,$111.86,$110.32
02/21/2025,$110.69,14709990,$111.32,$111.85,$110.56
02/20/2025,$112.00,16325800,$110.57,$112.42,$109.95
02/19/2025,$110.30,10964700,$110.755,$112.13,$110.055
02/18/2025,$110.14,20060300,$108.63,$110.99,$108.32
02/14/2025,$108.24,15733530,$108.52,$110.23,$108.10
02/13/2025,$108.13,15459950,$107.15,$108.41,$106.52
02/12/2025,$107.35,18244120,$110.05,$110.2269,$107.18
02/11/2025,$111.67,12713130,$111.60,$112.51,$110.82
02/10/2025,$110.97,12142200,$110.005,$111.03,$109.875
02/07/2025,$108.89,10051630,$108.78,$109.7304,$108.32
02/06/2025,$108.43,13411400,$110.77,$111.05,$107.985
02/05/2025,$109.88,13364390,$109.74,$110.01,$109.10
02/04/2025,$109.96,14835690,$106.705,$110.28,$106.53
02/03/2025,$107.09,14623200,$106.64,$107.30,$105.3225
01/31/2025,$106.83,20381450,$110.55,$110.55,$106.095
01/30/2025,$109.57,14346340,$109.24,$109.85,$108.70
01/29/2025,$108.67,12345520,$107.71,$108.78,$107.47
01/28/2025,$108.04,15862030,$110.41,$110.87,$107.79
01/27/2025,$110.17,15926670,$109.01,$110.4506,$108.39
01/24/2025,$108.66,14235890,$110.24,$110.71,$108.41
01/23/2025,$110.15,13726780,$110.31,$111.1425,$109.61
01/22/2025,$109.53,15718010,$111.20,$111.57,$109.40
01/21/2025,$111.47,20416290,$112.05,$112.175,$111.1305
01/17/2025,$112.32,19298500,$111.03,$112.8651,$110.82
01/16/2025,$111.32,10366590,$111.19,$111.69,$110.55
01/15/2025,$111.51,14521100,$110.05,$111.73,$109.47
